synbols-opensans, Open Sans Bold Italic, APACHE2, Steve Matteson, Digitized data copyright  2010-2011  Google Corporation.
synbols-opensansextrabold, Open Sans ExtraBold, APACHE2, Steve Matteson, Digitized data copyright  2011  Google Corporation.
synbols-opensansextrabold, Open Sans ExtraBold Italic, APACHE2, Steve Matteson, Digitized data copyright  2010-2011  Google Corporation.
synbols-fontdinerswanky, Fontdiner Swanky Regular, APACHE2, Font Diner, Copyright (c) 2010 by Font Diner  Inc. All rights reserved.
